machine	kind	vfile	theorem	const
0RB0LD_1RC1RB_1LD1RC_0RC1LA	nqh	theories/Machines/Counters/CASB_0RB0LD_1RC1RB_1LD1RC_0RC1LA.v	nqh_0RB0LD_1RC1RB_1LD1RC_0RC1LA	tm_0RB0LD_1RC1RB_1LD1RC_0RC1LA
0RB0RC_1LC0LC_0LD1RA_1RC1LD	nqh	theories/Machines/Counters/CASB_0RB0RC_1LC0LC_0LD1RA_1RC1LD.v	nqh_0RB0RC_1LC0LC_0LD1RA_1RC1LD	tm_0RB0RC_1LC0LC_0LD1RA_1RC1LD
0RB1LA_0LC1RD_1LA1LD_1RB0LA	nqh	theories/Machines/Counters/CASB_0RB1LA_0LC1RD_1LA1LD_1RB0LA.v	nqh_0RB1LA_0LC1RD_1LA1LD_1RB0LA	tm_0RB1LA_0LC1RD_1LA1LD_1RB0LA
0RB1LA_0LC1RD_1RD1LD_1RB0LA	nqh	theories/Machines/Counters/CASB_0RB1LA_0LC1RD_1RD1LD_1RB0LA.v	nqh_0RB1LA_0LC1RD_1RD1LD_1RB0LA	tm_0RB1LA_0LC1RD_1RD1LD_1RB0LA
0RB1LA_1LC1RD_1LA1LD_1RB0LA	nqh	theories/Machines/Counters/CASB_0RB1LA_1LC1RD_1LA1LD_1RB0LA.v	nqh_0RB1LA_1LC1RD_1LA1LD_1RB0LA	tm_0RB1LA_1LC1RD_1LA1LD_1RB0LA
0RB1LA_1LC1RD_1RA1LD_1RB0LA	nqh	theories/Machines/Counters/CASB_0RB1LA_1LC1RD_1RA1LD_1RB0LA.v	nqh_0RB1LA_1LC1RD_1RA1LD_1RB0LA	tm_0RB1LA_1LC1RD_1RA1LD_1RB0LA
0RB1LA_1LC1RD_1RD1LD_1RB0LA	nqh	theories/Machines/Counters/CASB_0RB1LA_1LC1RD_1RD1LD_1RB0LA.v	nqh_0RB1LA_1LC1RD_1RD1LD_1RB0LA	tm_0RB1LA_1LC1RD_1RD1LD_1RB0LA
0RB1LA_1RC0LA_0LD1RB_1LB0RC	nqh	theories/Machines/Counters/CASB_0RB1LA_1RC0LA_0LD1RB_1LB0RC.v	nqh_0RB1LA_1RC0LA_0LD1RB_1LB0RC	tm_0RB1LA_1RC0LA_0LD1RB_1LB0RC
0RB1LA_1RC0LA_0LD1RB_---1LB	nqh	theories/Machines/Counters/CASB_0RB1LA_1RC0LA_0LD1RB____1LB.v	nqh_0RB1LA_1RC0LA_0LD1RB____1LB	tm_0RB1LA_1RC0LA_0LD1RB____1LB
0RB1LA_1RC0LA_1LD1RB_---1LB	nqh	theories/Machines/Counters/CASB_0RB1LA_1RC0LA_1LD1RB____1LB.v	nqh_0RB1LA_1RC0LA_1LD1RB____1LB	tm_0RB1LA_1RC0LA_1LD1RB____1LB
0RB1LB_1RC0LD_0LA1RB_0RB1LD	nqh	theories/Machines/Counters/CASB_0RB1LB_1RC0LD_0LA1RB_0RB1LD.v	nqh_0RB1LB_1RC0LD_0LA1RB_0RB1LD	tm_0RB1LB_1RC0LD_0LA1RB_0RB1LD
0RB1LB_1RC0LD_1LA1RB_0RB1LD	nqh	theories/Machines/Counters/CASB_0RB1LB_1RC0LD_1LA1RB_0RB1LD.v	nqh_0RB1LB_1RC0LD_1LA1RB_0RB1LD	tm_0RB1LB_1RC0LD_1LA1RB_0RB1LD
0RB1LC_0LC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_0LC1RC_1LA0RD_0LC1RD.v	nqh_0RB1LC_0LC1RC_1LA0RD_0LC1RD	tm_0RB1LC_0LC1RC_1LA0RD_0LC1RD
0RB1LC_0RC1LB_1RD0LB_0LA1RC	nqh	theories/Machines/Counters/CASB_0RB1LC_0RC1LB_1RD0LB_0LA1RC.v	nqh_0RB1LC_0RC1LB_1RD0LB_0LA1RC	tm_0RB1LC_0RC1LB_1RD0LB_0LA1RC
0RB1LC_0RC1LB_1RD0LB_1LA1RC	nqh	theories/Machines/Counters/CASB_0RB1LC_0RC1LB_1RD0LB_1LA1RC.v	nqh_0RB1LC_0RC1LB_1RD0LB_1LA1RC	tm_0RB1LC_0RC1LB_1RD0LB_1LA1RC
0RB1LC_0RC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_0RC1RC_1LA0RD_0LC1RD.v	nqh_0RB1LC_0RC1RC_1LA0RD_0LC1RD	tm_0RB1LC_0RC1RC_1LA0RD_0LC1RD
0RB1LC_1LA1RB_0LD0LA_1RA0RA	nqh	theories/Machines/Counters/CASB_0RB1LC_1LA1RB_0LD0LA_1RA0RA.v	nqh_0RB1LC_1LA1RB_0LD0LA_1RA0RA	tm_0RB1LC_1LA1RB_0LD0LA_1RA0RA
0RB1LC_1LA1RB_0RD0LA_1LB0RD	nqh	theories/Machines/Counters/CASB_0RB1LC_1LA1RB_0RD0LA_1LB0RD.v	nqh_0RB1LC_1LA1RB_0RD0LA_1LB0RD	tm_0RB1LC_1LA1RB_0RD0LA_1LB0RD
0RB1LC_1LA1RB_0RD0LA_1RB1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_1LA1RB_0RD0LA_1RB1RD.v	nqh_0RB1LC_1LA1RB_0RD0LA_1RB1RD	tm_0RB1LC_1LA1RB_0RD0LA_1RB1RD
0RB1LC_1LA1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_1LA1RC_1LA0RD_0LC1RD.v	nqh_0RB1LC_1LA1RC_1LA0RD_0LC1RD	tm_0RB1LC_1LA1RC_1LA0RD_0LC1RD
0RB1LC_1LA1RC_1RB0LD_0RC1LD	nqh	theories/Machines/Counters/CASB_0RB1LC_1LA1RC_1RB0LD_0RC1LD.v	nqh_0RB1LC_1LA1RC_1RB0LD_0RC1LD	tm_0RB1LC_1LA1RC_1RB0LD_0RC1LD
0RB1LC_1LC1RC_1LA0RD_0LA1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_1LC1RC_1LA0RD_0LA1RD.v	nqh_0RB1LC_1LC1RC_1LA0RD_0LA1RD	tm_0RB1LC_1LC1RC_1LA0RD_0LA1RD
0RB1LC_1LC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_1LC1RC_1LA0RD_0LC1RD.v	nqh_0RB1LC_1LC1RC_1LA0RD_0LC1RD	tm_0RB1LC_1LC1RC_1LA0RD_0LC1RD
0RB1LC_1RC0LA_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_1RC0LA_1LA0RD_0LC1RD.v	nqh_0RB1LC_1RC0LA_1LA0RD_0LC1RD	tm_0RB1LC_1RC0LA_1LA0RD_0LC1RD
0RB1LC_1RC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_0RB1LC_1RC1RC_1LA0RD_0LC1RD.v	nqh_0RB1LC_1RC1RC_1LA0RD_0LC1RD	tm_0RB1LC_1RC1RC_1LA0RD_0LC1RD
0RB1LD_0LC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_0RB1LD_0LC1RD_0LD1RC_1LA0RC.v	nqh_0RB1LD_0LC1RD_0LD1RC_1LA0RC	tm_0RB1LD_0LC1RD_0LD1RC_1LA0RC
0RB1LD_0RC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_0RB1LD_0RC1RD_0LD1RC_1LA0RC.v	nqh_0RB1LD_0RC1RD_0LD1RC_1LA0RC	tm_0RB1LD_0RC1RD_0LD1RC_1LA0RC
0RB1LD_1LC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_0RB1LD_1LC1RD_0LD1RC_1LA0RC.v	nqh_0RB1LD_1LC1RD_0LD1RC_1LA0RC	tm_0RB1LD_1LC1RD_0LD1RC_1LA0RC
0RB1LD_1RC1RD_0LA1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_0RB1LD_1RC1RD_0LA1RC_1LA0RC.v	nqh_0RB1LD_1RC1RD_0LA1RC_1LA0RC	tm_0RB1LD_1RC1RD_0LA1RC_1LA0RC
0RB1LD_1RC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_0RB1LD_1RC1RD_0LD1RC_1LA0RC.v	nqh_0RB1LD_1RC1RD_0LD1RC_1LA0RC	tm_0RB1LD_1RC1RD_0LD1RC_1LA0RC
0RB1RB_1LC0RD_0RA1LB_0LB1RD	nqh	theories/Machines/Counters/CASB_0RB1RB_1LC0RD_0RA1LB_0LB1RD.v	nqh_0RB1RB_1LC0RD_0RA1LB_0LB1RD	tm_0RB1RB_1LC0RD_0RA1LB_0LB1RD
0RB1RB_1LC0RD_1RA1LB_0LB1RD	nqh	theories/Machines/Counters/CASB_0RB1RB_1LC0RD_1RA1LB_0LB1RD.v	nqh_0RB1RB_1LC0RD_1RA1LB_0LB1RD	tm_0RB1RB_1LC0RD_1RA1LB_0LB1RD
0RB1RC_0LC1RB_1LD0RB_0RA1LC	nqh	theories/Machines/Counters/CASB_0RB1RC_0LC1RB_1LD0RB_0RA1LC.v	nqh_0RB1RC_0LC1RB_1LD0RB_0RA1LC	tm_0RB1RC_0LC1RB_1LD0RB_0RA1LC
0RB1RC_0LC1RB_1LD0RB_1RA1LC	nqh	theories/Machines/Counters/CASB_0RB1RC_0LC1RB_1LD0RB_1RA1LC.v	nqh_0RB1RC_0LC1RB_1LD0RB_1RA1LC	tm_0RB1RC_0LC1RB_1LD0RB_1RA1LC
1RB0LC_1LC0RD_0RA1LB_0LB1RD	nqh	theories/Machines/Counters/CASB_1RB0LC_1LC0RD_0RA1LB_0LB1RD.v	nqh_1RB0LC_1LC0RD_0RA1LB_0LB1RD	tm_1RB0LC_1LC0RD_0RA1LB_0LB1RD
1RB0LD_0LC1RA_1LA0RB_0RA1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_0LC1RA_1LA0RB_0RA1LD.v	nqh_1RB0LD_0LC1RA_1LA0RB_0RA1LD	tm_1RB0LD_0LC1RA_1LA0RB_0RA1LD
1RB0LD_0LC1RA_1LD1LA_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_0LC1RA_1LD1LA_0RB1LD.v	nqh_1RB0LD_0LC1RA_1LD1LA_0RB1LD	tm_1RB0LD_0LC1RA_1LD1LA_0RB1LD
1RB0LD_0LC1RA_1RA1LA_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_0LC1RA_1RA1LA_0RB1LD.v	nqh_1RB0LD_0LC1RA_1RA1LA_0RB1LD	tm_1RB0LD_0LC1RA_1RA1LA_0RB1LD
1RB0LD_0LC1RA_1RC1LA_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_0LC1RA_1RC1LA_0RB1LD.v	nqh_1RB0LD_0LC1RA_1RC1LA_0RB1LD	tm_1RB0LD_0LC1RA_1RC1LA_0RB1LD
1RB0LD_0LC1RA_---1LA_0RA1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_0LC1RA____1LA_0RA1LD.v	nqh_1RB0LD_0LC1RA____1LA_0RA1LD	tm_1RB0LD_0LC1RA____1LA_0RA1LD
1RB0LD_1LC1RA_1LD1LA_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_1LC1RA_1LD1LA_0RB1LD.v	nqh_1RB0LD_1LC1RA_1LD1LA_0RB1LD	tm_1RB0LD_1LC1RA_1LD1LA_0RB1LD
1RB0LD_1LC1RA_1RA1LA_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_1LC1RA_1RA1LA_0RB1LD.v	nqh_1RB0LD_1LC1RA_1RA1LA_0RB1LD	tm_1RB0LD_1LC1RA_1RA1LA_0RB1LD
1RB0LD_1LC1RA_1RD1LA_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_1LC1RA_1RD1LA_0RB1LD.v	nqh_1RB0LD_1LC1RA_1RD1LA_0RB1LD	tm_1RB0LD_1LC1RA_1RD1LA_0RB1LD
1RB0LD_1LC1RA_---1LA_0RA1LD	nqh	theories/Machines/Counters/CASB_1RB0LD_1LC1RA____1LA_0RA1LD.v	nqh_1RB0LD_1LC1RA____1LA_0RA1LD	tm_1RB0LD_1LC1RA____1LA_0RA1LD
1RB0RB_0RC1LD_1LB1RC_0LA0LB	nqh	theories/Machines/Counters/CASB_1RB0RB_0RC1LD_1LB1RC_0LA0LB.v	nqh_1RB0RB_0RC1LD_1LB1RC_0LA0LB	tm_1RB0RB_0RC1LD_1LB1RC_0LA0LB
1RB1LA_0LA0RC_0LD1RB_1RC1LD	nqh	theories/Machines/Counters/CASB_1RB1LA_0LA0RC_0LD1RB_1RC1LD.v	nqh_1RB1LA_0LA0RC_0LD1RB_1RC1LD	tm_1RB1LA_0LA0RC_0LD1RB_1RC1LD
1RB1LA_0LA1RC_0LD0RB_1LA1LD	nqh	theories/Machines/Counters/CASB_1RB1LA_0LA1RC_0LD0RB_1LA1LD.v	nqh_1RB1LA_0LA1RC_0LD0RB_1LA1LD	tm_1RB1LA_0LA1RC_0LD0RB_1LA1LD
1RB1LB_1RC0LD_0LA1RB_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB1LB_1RC0LD_0LA1RB_0RB1LD.v	nqh_1RB1LB_1RC0LD_0LA1RB_0RB1LD	tm_1RB1LB_1RC0LD_0LA1RB_0RB1LD
1RB1LB_1RC0LD_0LA1RB_0RC1LD	nqh	theories/Machines/Counters/CASB_1RB1LB_1RC0LD_0LA1RB_0RC1LD.v	nqh_1RB1LB_1RC0LD_0LA1RB_0RC1LD	tm_1RB1LB_1RC0LD_0LA1RB_0RC1LD
1RB1LB_1RC0LD_1LA1RB_0RB1LD	nqh	theories/Machines/Counters/CASB_1RB1LB_1RC0LD_1LA1RB_0RB1LD.v	nqh_1RB1LB_1RC0LD_1LA1RB_0RB1LD	tm_1RB1LB_1RC0LD_1LA1RB_0RB1LD
1RB1LB_1RC0LD_1LA1RB_0RC1LD	nqh	theories/Machines/Counters/CASB_1RB1LB_1RC0LD_1LA1RB_0RC1LD.v	nqh_1RB1LB_1RC0LD_1LA1RB_0RC1LD	tm_1RB1LB_1RC0LD_1LA1RB_0RC1LD
1RB1LC_0LA1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_0LA1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_0LA1RC_1LA0RD_0LC1RD	tm_1RB1LC_0LA1RC_1LA0RD_0LC1RD
1RB1LC_0LA1RC_1RB0LD_0RC1LD	nqh	theories/Machines/Counters/CASB_1RB1LC_0LA1RC_1RB0LD_0RC1LD.v	nqh_1RB1LC_0LA1RC_1RB0LD_0RC1LD	tm_1RB1LC_0LA1RC_1RB0LD_0RC1LD
1RB1LC_0LB1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_0LB1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_0LB1RC_1LA0RD_0LC1RD	tm_1RB1LC_0LB1RC_1LA0RD_0LC1RD
1RB1LC_0LC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_0LC1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_0LC1RC_1LA0RD_0LC1RD	tm_1RB1LC_0LC1RC_1LA0RD_0LC1RD
1RB1LC_0RC1LB_1RD0LB_0LA1RC	nqh	theories/Machines/Counters/CASB_1RB1LC_0RC1LB_1RD0LB_0LA1RC.v	nqh_1RB1LC_0RC1LB_1RD0LB_0LA1RC	tm_1RB1LC_0RC1LB_1RD0LB_0LA1RC
1RB1LC_0RC1LB_1RD0LB_1LA1RC	nqh	theories/Machines/Counters/CASB_1RB1LC_0RC1LB_1RD0LB_1LA1RC.v	nqh_1RB1LC_0RC1LB_1RD0LB_1LA1RC	tm_1RB1LC_0RC1LB_1RD0LB_1LA1RC
1RB1LC_0RC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_0RC1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_0RC1RC_1LA0RD_0LC1RD	tm_1RB1LC_0RC1RC_1LA0RD_0LC1RD
1RB1LC_1LA1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_1LA1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_1LA1RC_1LA0RD_0LC1RD	tm_1RB1LC_1LA1RC_1LA0RD_0LC1RD
1RB1LC_1LA1RC_1RB0LD_0RC1LD	nqh	theories/Machines/Counters/CASB_1RB1LC_1LA1RC_1RB0LD_0RC1LD.v	nqh_1RB1LC_1LA1RC_1RB0LD_0RC1LD	tm_1RB1LC_1LA1RC_1RB0LD_0RC1LD
1RB1LC_1LB1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_1LB1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_1LB1RC_1LA0RD_0LC1RD	tm_1RB1LC_1LB1RC_1LA0RD_0LC1RD
1RB1LC_1LC1RC_1LA0RD_0LA1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_1LC1RC_1LA0RD_0LA1RD.v	nqh_1RB1LC_1LC1RC_1LA0RD_0LA1RD	tm_1RB1LC_1LC1RC_1LA0RD_0LA1RD
1RB1LC_1LC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_1LC1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_1LC1RC_1LA0RD_0LC1RD	tm_1RB1LC_1LC1RC_1LA0RD_0LC1RD
1RB1LC_1RC1RC_1LA0RD_0LC1RD	nqh	theories/Machines/Counters/CASB_1RB1LC_1RC1RC_1LA0RD_0LC1RD.v	nqh_1RB1LC_1RC1RC_1LA0RD_0LC1RD	tm_1RB1LC_1RC1RC_1LA0RD_0LC1RD
1RB1LD_0LC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_1RB1LD_0LC1RD_0LD1RC_1LA0RC.v	nqh_1RB1LD_0LC1RD_0LD1RC_1LA0RC	tm_1RB1LD_0LC1RD_0LD1RC_1LA0RC
1RB1LD_0RC1LB_1LA1RD_1RC0LB	nqh	theories/Machines/Counters/CASB_1RB1LD_0RC1LB_1LA1RD_1RC0LB.v	nqh_1RB1LD_0RC1LB_1LA1RD_1RC0LB	tm_1RB1LD_0RC1LB_1LA1RD_1RC0LB
1RB1LD_0RC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_1RB1LD_0RC1RD_0LD1RC_1LA0RC.v	nqh_1RB1LD_0RC1RD_0LD1RC_1LA0RC	tm_1RB1LD_0RC1RD_0LD1RC_1LA0RC
1RB1LD_1LC1RD_0LA1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_1RB1LD_1LC1RD_0LA1RC_1LA0RC.v	nqh_1RB1LD_1LC1RD_0LA1RC_1LA0RC	tm_1RB1LD_1LC1RD_0LA1RC_1LA0RC
1RB1LD_1LC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_1RB1LD_1LC1RD_0LD1RC_1LA0RC.v	nqh_1RB1LD_1LC1RD_0LD1RC_1LA0RC	tm_1RB1LD_1LC1RD_0LD1RC_1LA0RC
1RB1LD_1RC1RD_0LA1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_1RB1LD_1RC1RD_0LA1RC_1LA0RC.v	nqh_1RB1LD_1RC1RD_0LA1RC_1LA0RC	tm_1RB1LD_1RC1RD_0LA1RC_1LA0RC
1RB1LD_1RC1RD_0LD1RC_1LA0RC	nqh	theories/Machines/Counters/CASB_1RB1LD_1RC1RD_0LD1RC_1LA0RC.v	nqh_1RB1LD_1RC1RD_0LD1RC_1LA0RC	tm_1RB1LD_1RC1RD_0LD1RC_1LA0RC
1RB1RA_1LC1RB_0RB1LD_0RA0LC	nqh	theories/Machines/Counters/CASB_1RB1RA_1LC1RB_0RB1LD_0RA0LC.v	nqh_1RB1RA_1LC1RB_0RB1LD_0RA0LC	tm_1RB1RA_1LC1RB_0RB1LD_0RA0LC
1RB1RB_1LC0RD_0RA1LB_0LB1RD	nqh	theories/Machines/Counters/CASB_1RB1RB_1LC0RD_0RA1LB_0LB1RD.v	nqh_1RB1RB_1LC0RD_0RA1LB_0LB1RD	tm_1RB1RB_1LC0RD_0RA1LB_0LB1RD
1RB1RB_1LC0RD_1RA1LB_0LB1RD	nqh	theories/Machines/Counters/CASB_1RB1RB_1LC0RD_1RA1LB_0LB1RD.v	nqh_1RB1RB_1LC0RD_1RA1LB_0LB1RD	tm_1RB1RB_1LC0RD_1RA1LB_0LB1RD
1RB1RC_0LC1RB_1LD0RB_0RA1LC	nqh	theories/Machines/Counters/CASB_1RB1RC_0LC1RB_1LD0RB_0RA1LC.v	nqh_1RB1RC_0LC1RB_1LD0RB_0RA1LC	tm_1RB1RC_0LC1RB_1LD0RB_0RA1LC
1RB1RC_0LC1RB_1LD0RB_1RA1LC	nqh	theories/Machines/Counters/CASB_1RB1RC_0LC1RB_1LD0RB_1RA1LC.v	nqh_1RB1RC_0LC1RB_1LD0RB_1RA1LC	tm_1RB1RC_0LC1RB_1LD0RB_1RA1LC
1RB1RC_0RC1LD_1LB1RC_0RA0LB	nqh	theories/Machines/Counters/CASB_1RB1RC_0RC1LD_1LB1RC_0RA0LB.v	nqh_1RB1RC_0RC1LD_1LB1RC_0RA0LB	tm_1RB1RC_0RC1LD_1LB1RC_0RA0LB
1RB1RD_0LC1RB_0RA1LD_1LC0RB	nqh	theories/Machines/Counters/CASB_1RB1RD_0LC1RB_0RA1LD_1LC0RB.v	nqh_1RB1RD_0LC1RB_0RA1LD_1LC0RB	tm_1RB1RD_0LC1RB_0RA1LD_1LC0RB
1RB1RD_0LC1RB_1RA1LD_1LC0RB	nqh	theories/Machines/Counters/CASB_1RB1RD_0LC1RB_1RA1LD_1LC0RB.v	nqh_1RB1RD_0LC1RB_1RA1LD_1LC0RB	tm_1RB1RD_0LC1RB_1RA1LD_1LC0RB
1RB1LD_1RC1RB_1LC1LA_0RC0RD	iqhch	theories/Machines/Counters/Champion_1RB1LD_1RC1RB_1LC1LA_0RC0RD.v	iqh_champion	tm_champion
0RB1LC_1LC0RD_1RD0LC_1LA1RB	nqh	theories/Machines/Counters/Comb2_0RB1LC_1LC0RD_1RD0LC_1LA1RB.v	nqh_0RB1LC_1LC0RD_1RD0LC_1LA1RB	tm_c2
0RB1LC_1LC1RD_1LA0LC_0RD1RB	nqh	theories/Machines/Counters/Comb3_0RB1LC_1LC1RD_1LA0LC_0RD1RB.v	nqh_0RB1LC_1LC1RD_1LA0LC_0RD1RB	tm_c3
1RB1LD_1RC0RB_1LA0RC_0LD0LA	nqh	theories/Machines/Counters/Double_32.v	nqh_1RB1LD_1RC0RB_1LA0RC_0LD0LA	tm_32
1RB0LC_1RC0RD_1LA0LC_1RD0RA	nqh	theories/Machines/Counters/Double_9.v	nqh_1RB0LC_1RC0RD_1LA0LC_1RD0RA	tm_9
1RB0LA_1LC0RD_0LB1LA_0RB1LA	nqh	theories/Machines/Counters/Fractal_3.v	nqh_1RB0LA_1LC0RD_0LB1LA_0RB1LA	tm_f3
1RB0LA_1LC1RD_0LC1LA_0RD0RB	nqh	theories/Machines/Counters/Fractal_5.v	nqh_1RB0LA_1LC1RD_0LC1LA_0RD0RB	tm_f5
1RB0LD_0RC1LB_1LD1RC_0RC1LA	nqh	theories/Machines/Counters/ILCM_1RB0LD_0RC1LB_1LD1RC_0RC1LA.v	nqh_1RB0LD_0RC1LB_1LD1RC_0RC1LA	tm_1RB0LD_0RC1LB_1LD1RC_0RC1LA
1RB0RC_0LA0LD_1LD1RC_0RC1LB	nqh	theories/Machines/Counters/ILCM_1RB0RC_0LA0LD_1LD1RC_0RC1LB.v	nqh_1RB0RC_0LA0LD_1LD1RC_0RC1LB	tm_1RB0RC_0LA0LD_1LD1RC_0RC1LB
1RB1LD_1LC1RB_0RB1LD_1RA0LC	nqh	theories/Machines/Counters/ILCM_1RB1LD_1LC1RB_0RB1LD_1RA0LC.v	nqh_1RB1LD_1LC1RB_0RB1LD_1RA0LC	tm_1RB1LD_1LC1RB_0RB1LD_1RA0LC
